# 谁是卧底词库
# 格式：平民词|卧底词
# 每行一对词语，用 | 分隔

画家|观众
厨师|食客
司机|乘客
导游|游客
销售|顾客
双胞胎|三胞胎
龙凤胎|兄妹
同学|同桌

篮球|足球
羽毛球|网球
乒乓球|网球
游泳|跳水
跑步|散步
吉他|琵琶
瑜伽垫|健身垫

电影|电视剧
小说|漫画
音乐|歌曲
绘画|摄影
舞蹈|体操
甄嬛传|红楼梦
贵妃醉酒|黛玉葬花
丑小鸭|灰姑娘
十面埋伏|四面楚歌
作文|论文
语无伦次|词不达意
江南 style|最炫民族风
梁山伯与祝英台|罗密欧与朱丽叶
油画|水彩画
素描|速写
雕塑|陶艺
交响乐|协奏曲
民谣|乡村音乐
爵士|蓝调
芭蕾|现代舞
街舞|嘻哈
戏剧|话剧
纪录片|电影
散文|小说
诗歌|歌词
漫画|动画
摄影|摄像
书法|篆刻
刺绣|编织
剪纸|折纸
插花|盆景
茶道|香道
围棋|象棋

手机|平板
电脑|笔记本
键盘|鼠标
耳机|音响
充电器|充电宝
麦克风|扩音器
相机|摄像机
路由器|交换机
打印机|复印机
扫描仪|传真机
U盘|移动硬盘
数据线|充电线
插头|插座
排插|转换插头
电灯|LED灯
台灯|床头灯
吊灯|吸顶灯
壁灯|射灯
手电筒|头灯
电风扇|空调扇
加湿器|除湿机
空气净化器|新风系统
净水器|软水机
洗碗机|消毒柜
抽油烟机|排气扇
电烤箱|微波炉
望远镜|显微镜
遥控器|控制器
万用表|示波器
笔记本|超级本
台式机|一体机
扫地机器人|吸尘器
投影仪|电视机
香薰机|加湿器
卷发棒|直发夹板
折叠伞|长柄伞
智能手表|怀表
拍立得|手机相机
充电宝|发电机
无人机|遥控飞机

春天|秋天
夏天|冬天
晴天|阴天
下雨|下雪
刮风|打雷
彩虹|极光
闪电|极光
流星|彗星
潮汐|海浪
地震|火山
台风|飓风
霜|雾凇
露水|雨水
朝霞|晚霞
白云|乌云
薰衣草|满天星
樱花|海棠花
绿萝|常春藤
秋雨|春雨
沙漠|戈壁
森林|草原
高山|丘陵
湖泊|池塘
河流|小溪
海洋|海湾
岛屿|半岛
冰川|雪山
温泉|冷泉
火山口|陨石坑
极昼|极夜
日食|月食
彩虹|日晕
雾霾|沙尘暴
龙卷风|沙尘暴
海市蜃楼|彩虹
星空|银河
新月|满月
云海|雾海
积雪|冰雹

拉布拉多|金毛
柯基|柴犬
布偶猫|波斯猫
仓鼠|荷兰猪
鹦鹉|八哥
金鱼|锦鲤
蝴蝶|蛾子
蚂蚁|白蚁
海豚|白鲸
海豹|海狮
企鹅|海雀
狮子|老虎
狼|狐狸
熊猫|考拉
大象|河马
长颈鹿|骆驼
斑马|驴
袋鼠|兔子
猩猩|猴子
鳄鱼|蜥蜴
乌龟|鳖
蛇|蜥蜴
青蛙|蟾蜍
蜘蛛|蝎子
蜻蜓|豆娘
蟋蟀|蚂蚱
萤火虫|瓢虫
鸽子|麻雀
老鹰|秃鹫
孔雀|凤凰
天鹅|白鹭
海鸥|信天翁
海星|海胆
章鱼|乌贼
水母|海蜇
珊瑚|海绵
海马|海龙
恐龙|猛犸象
独角兽|飞马

被子|床单
壁纸|贴画
风扇|空调
玻璃|镜子
纸巾|手帕
洗衣粉|皂角粉
水盆|水桶
枕头|抱枕
楼梯|电梯
干洗机|甩干机
钢笔|中性笔
高跟鞋|增高鞋
鸭舌帽|遮阳帽
洗发露|护发素
自行车|电动车
脚踏车|自行车
近视眼镜|隐形眼镜
帆布包|托特包
马克杯|陶瓷杯
洗衣凝珠|洗衣液

红色|粉色
婚纱|喜服
旗袍|汉服
西装|中山装
T恤|POLO衫
牛仔裤|休闲裤
运动鞋|板鞋
高跟鞋|马丁靴
连衣裙|半身裙
毛衣|针织衫
羽绒服|棉服
风衣|夹克
帽子|头巾
围巾|披肩
手套|袖套
领带|领结
手表|手镯
耳环|耳钉
戒指|手链
墨镜|近视镜
背包|手提包
钱包|卡包
睡衣|家居服
雨衣|冲锋衣

新年|春节
情人节|七夕
光棍节|双十一
端午节|重阳节
中秋节|元宵节
跨年|除夕
万圣节|中秋节
春节|圣诞节
儿童节|教师节

故宫|凡尔赛宫
长城|马丘比丘
埃菲尔铁塔|东京塔
大本钟|钟楼

孙悟空|蜘蛛侠
圣诞老人|财神爷
美人鱼|海妖
吸血鬼|僵尸
精灵|仙子
巫师|道士
骑士|武士
城堡|宫殿
神话|传说
童话|寓言
图腾|符号
象形文字|楔形文字
京剧|歌剧
书法|涂鸦
唐装|和服
筷子|刀叉
粽子|寿司
月饼|派
龙|凤凰
麒麟|独角兽

可口可乐|百事可乐
麦当劳|肯德基
星巴克|瑞幸
苹果|三星
微信|QQ
淘宝|京东
抖音|快手
爱奇艺|腾讯视频
网易云|QQ音乐
百度|谷歌
微软|苹果
奔驰|宝马
阿迪达斯|耐克
华为|小米
顺丰|京东物流
美团|饿了么
携程|飞猪
支付宝|微信支付
知乎|豆瓣

早高峰|晚高峰
工作日|周末
晴天|雨天
婚礼|葬礼
开学|毕业
入职|离职
旅行|出差
购物|逛街
聚餐|派对
运动|健身
阅读|听书
看电影|追剧
打游戏|刷视频
做饭|外卖
打扫|整理
遛狗|撸猫
种花|养鱼
钓鱼|野营
滑雪|潜水

同人|官方
水军|真实用户
欧皇|非酋
肝帝|氪佬
网文|出版书
名著|畅销书
文言文|白话文
转载|原创
搬运|翻译

光合作用|呼吸作用
引力|重力
电流|电压
元素|化合物
细胞|病毒

手账|日记
胶带|贴纸
火漆|印章
盲盒|扭蛋
乐高|积木
明信片|贺卡
邮票|邮戳
硬币|纸币

山里人|城里人
本地人|外地人
广场舞|街舞
麻将|扑克
强迫症|拖延症
青春痘|皱纹
开端|结局
序章|尾声
时光机|任意门
读心术|催眠术
外星人|未来人

自由行|跟团游
民宿|酒店
